Breadth First Search:
California: Color->Red, Level->0
Oregon: Color->Yellow, Level->1
Nevada: Color->Green, Level->1
Arizona: Color->Yellow, Level->1
Washington: Color->Red, Level->2
Idaho: Color->Blue, Level->2
Utah: Color->Red, Level->3
Colorado: Color->Green, Level->4
New Mexico: Color->Blue, Level->4
Montana: Color->Red, Level->5
Wyoming: Color->Yellow, Level->5
Oklahoma: Color->Red, Level->6
Kansas: Color->Yellow, Level->6
Nebraska: Color->Red, Level->6
Texas: Color->Yellow, Level->7
North Dakota: Color->Yellow, Level->8
South Dakota: Color->Green, Level->8
Arkansas: Color->Green, Level->9
Missouri: Color->Blue, Level->9
Iowa: Color->Yellow, Level->10
Louisiana: Color->Red, Level->11
Minnesota: Color->Red, Level->12
Mississippi: Color->Yellow, Level->13
Tennessee: Color->Red, Level->13
Kentucky: Color->Yellow, Level->14
Illinois: Color->Red, Level->14
Wisconsin: Color->Green, Level->15
Alabama: Color->Green, Level->16
Georgia: Color->Yellow, Level->17
North Carolina: Color->Green, Level->17
Virginia: Color->Blue, Level->17
Indiana: Color->Green, Level->18
West Virginia: Color->Red, Level->18
Ohio: Color->Blue, Level->18
Michigan: Color->Red, Level->19
Florida: Color->Red, Level->20
South Carolina: Color->Red, Level->21
Maryland: Color->Yellow, Level->22
Pennsylvania: Color->Green, Level->23
Delaware: Color->Red, Level->24
New York: Color->Red, Level->25
New Jersey: Color->Yellow, Level->25
Vermont: Color->Yellow, Level->26
Massachusetts: Color->Green, Level->26
Connecticut: Color->Yellow, Level->26
New Hampshire: Color->Red, Level->27
Rhode Island: Color->Red, Level->28
Maine: Color->Yellow, Level->29

